title,mip_bt,mip_ct1,mip_ct2,makespan,ct1,ct1_lt,ct1_et,ct1_pt,ct1_wt,ct2,ct2_lt,ct2_et,ct2_pt,ct2_wt,num_handover,time,type,handshake
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,208,206,150,16,16,24,208,124,72,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,201,201,150,35,16,0,200,124,64,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,204,200,150,16,16,18,204,124,68,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,208,206,150,16,16,24,208,124,72,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,208,206,150,38,16,2,208,124,72,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,208,206,150,16,16,24,208,124,72,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,207,194,150,19,16,9,207,124,64,12,7,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,208,193,150,19,16,8,208,124,69,12,3,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,208,206,150,16,16,24,208,124,72,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,204,203,150,33,16,4,204,124,68,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,201,199,150,19,16,14,201,124,62,12,3,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,209,209,150,43,16,0,209,124,69,12,4,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,204,202,150,36,16,0,204,124,64,12,4,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,210,210,150,33,16,11,208,124,72,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,208,206,150,16,16,24,208,124,72,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,201,199,150,33,16,0,201,124,62,12,3,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,208,206,150,16,16,24,208,124,72,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,209,195,150,29,16,0,209,124,64,12,9,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,208,205,150,29,16,10,208,124,69,12,3,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,204,203,150,33,16,4,204,124,68,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,201,201,150,35,16,0,200,124,62,12,2,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,201,201,150,35,16,0,200,124,64,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,208,206,150,38,16,2,208,124,72,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,204,202,150,36,16,0,204,124,64,12,4,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,204,203,150,33,16,4,204,124,68,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,204,203,150,33,16,4,204,124,68,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,204,202,150,36,16,0,204,124,64,12,4,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,202,202,150,36,16,0,200,124,64,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,208,206,150,38,16,2,208,124,72,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,216,213,150,29,16,18,216,124,76,12,4,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,208,206,150,16,16,24,208,124,72,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,201,199,150,33,16,0,201,124,62,12,3,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,213,208,150,23,16,19,213,124,70,12,7,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,208,206,150,16,16,24,208,124,72,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,204,200,150,16,16,18,204,124,68,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,204,202,150,36,16,0,204,124,64,12,4,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,216,216,150,36,16,14,216,124,80,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,208,206,150,16,16,24,208,124,72,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,201,199,150,19,16,14,201,124,62,12,3,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,210,208,150,38,16,4,210,124,72,12,2,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,209,209,150,43,16,0,209,124,69,12,4,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,203,191,150,19,16,6,203,124,64,12,3,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,207,199,150,33,16,0,207,124,64,12,7,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,204,203,150,33,16,4,204,124,68,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,214,208,150,36,16,6,214,124,78,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,220,202,150,36,16,0,220,124,76,12,8,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,208,206,150,16,16,24,208,124,72,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,208,206,150,38,16,2,208,124,72,12,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,203,195,150,19,16,10,203,124,64,12,3,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,205,195,150,29,16,0,205,124,62,12,7,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,264,251,146,25,80,0,264,128,76,60,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,268,257,146,15,80,16,268,128,73,60,7,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,260,258,146,32,80,0,260,128,66,60,6,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,268,250,146,12,80,12,268,128,80,60,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,260,258,146,32,80,0,260,128,66,60,6,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,269,269,146,25,80,18,268,128,73,60,7,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,264,262,146,32,80,4,264,128,66,60,10,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,258,258,146,32,80,0,256,128,68,60,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,274,271,146,25,80,20,274,128,80,60,6,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,258,258,146,32,80,0,258,128,68,60,2,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,264,264,146,34,80,4,264,128,76,60,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,264,251,146,25,80,0,264,128,72,60,4,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,260,258,146,32,80,0,260,128,66,60,6,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,264,262,146,12,80,24,264,128,76,60,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,264,264,146,12,80,26,264,128,76,60,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,258,258,146,32,80,0,258,128,68,60,2,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,268,253,146,15,80,12,268,128,80,60,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,258,258,146,32,80,0,258,128,68,60,2,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,277,277,146,51,80,0,276,128,81,60,7,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,258,258,146,32,80,0,258,128,68,60,2,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,264,262,146,12,80,24,264,128,76,60,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,264,264,146,12,80,26,264,128,76,60,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,264,264,146,12,80,26,264,128,76,60,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,258,258,146,32,80,0,258,128,68,60,2,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,264,262,146,34,80,2,264,128,76,60,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,264,251,146,25,80,0,264,128,72,60,4,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,258,258,146,32,80,0,256,128,66,60,2,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,258,258,146,32,80,0,258,128,68,60,2,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,272,269,146,25,80,18,272,128,80,60,4,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,260,258,146,32,80,0,260,128,68,60,4,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,264,262,146,12,80,24,264,128,76,60,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,264,255,146,29,80,0,264,128,72,60,4,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,264,249,146,15,80,8,264,128,72,60,4,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,261,245,146,15,80,4,261,128,73,60,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,264,264,146,12,80,26,264,128,76,60,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,272,269,146,25,80,18,272,128,80,60,4,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,269,269,146,25,80,18,268,128,73,60,7,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,258,258,146,32,80,0,256,128,66,60,2,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,264,264,146,12,80,26,264,128,76,60,0,4,0.000000,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,261,245,146,15,80,4,261,128,73,60,0,4,0.000000,0,0
