title,mip_bt,mip_ct1,mip_ct2,makespan,ct1,ct1_lt,ct1_et,ct1_pt,ct1_wt,ct2,ct2_lt,ct2_et,ct2_pt,ct2_wt,num_handover,time,type,handshake
N_10_PL_0.25_R_0.25_V_0_p_1,202,202,202,220,220,150,36,16,18,198,124,62,12,0,4,0.724205,0,0
N_10_PL_0.25_R_0.25_V_0_p_5,258,258,258,264,262,146,34,80,2,264,128,76,60,0,4,0.738213,0,0
N_10_PL_0.25_R_0.25_V_0_p_10,328,328,328,343,339,141,14,160,24,343,133,86,120,4,4,0.864681,0,0
N_10_PL_0.25_R_0.25_V_0_p_25,560,560,534,547,547,104,33,400,10,544,170,74,300,0,4,1.006735,0,0
N_10_PL_0.25_R_0.25_V_1_p_1,110,110,110,106,101,65,20,16,0,106,62,36,8,0,2,0.542823,0,0
N_10_PL_0.25_R_0.25_V_1_p_5,158,158,158,154,153,57,16,80,0,154,70,44,40,0,2,0.611093,0,0
N_10_PL_0.25_R_0.25_V_1_p_10,228,228,228,231,227,52,15,160,0,231,75,56,100,0,3,0.678920,0,0
N_10_PL_0.25_R_0.25_V_3_p_10,286,286,266,275,275,95,20,160,0,271,135,30,100,6,3,0.747484,0,0
N_10_PL_0.25_R_0.25_V_3_p_25,500,500,492,515,513,79,10,400,24,515,151,58,300,6,4,1.010729,0,0
N_10_PL_0.25_R_0.25_V_4_p_1,144,144,144,140,140,109,11,16,4,138,100,26,10,2,3,0.617853,0,0
N_10_PL_0.25_R_0.25_V_4_p_5,196,196,196,194,190,88,22,80,0,194,121,23,50,0,3,0.652653,0,0
N_10_PL_0.25_R_0.25_V_4_p_10,262,260,262,257,257,80,17,160,0,256,129,23,100,4,3,0.746983,0,0
N_10_PL_0.25_R_0.25_V_4_p_25,482,480,482,496,496,64,32,400,0,488,145,43,300,0,4,0.927211,0,0
N_10_PL_0.25_R_0.5_V_0_p_1,156,156,156,163,162,135,11,16,0,163,104,47,12,0,4,0.695212,0,0
N_10_PL_0.25_R_0.5_V_0_p_5,208,206,208,209,206,112,14,80,0,209,127,32,50,0,3,0.656585,0,0
N_10_PL_0.25_R_0.5_V_0_p_10,278,278,266,296,280,106,14,160,0,296,133,63,100,0,3,0.742423,0,0
N_10_PL_0.25_R_0.5_V_0_p_25,496,494,496,519,511,91,20,400,0,519,148,71,300,0,4,0.992255,0,0
N_10_PL_0.25_R_0.5_V_1_p_1,118,116,118,120,116,83,17,16,0,120,91,21,8,0,2,0.557100,0,0
N_10_PL_0.25_R_0.5_V_1_p_5,166,166,164,175,172,70,22,80,0,175,104,31,40,0,2,0.614100,0,0
N_10_PL_0.25_R_0.5_V_1_p_10,236,236,234,245,243,68,15,160,0,245,106,39,100,0,3,0.701820,0,0
N_10_PL_0.25_R_0.5_V_1_p_25,446,446,442,453,449,32,16,400,1,453,142,61,250,0,3,0.852468,0,0
N_10_PL_0.25_R_0.5_V_2_p_1,124,124,124,134,134,99,19,16,0,132,109,13,10,0,3,0.572008,0,0
N_10_PL_0.25_R_0.5_V_2_p_5,180,180,172,184,184,97,5,80,2,174,111,13,50,0,3,0.631163,0,0
N_10_PL_0.25_R_0.5_V_2_p_10,252,250,252,282,282,86,20,160,16,282,122,40,120,0,4,0.811389,0,0
N_10_PL_0.25_R_0.5_V_2_p_25,470,470,468,498,498,62,36,400,0,496,146,48,300,2,4,0.961195,0,0
N_10_PL_0.25_R_0.5_V_3_p_1,132,132,132,134,132,104,12,16,0,134,78,48,8,0,2,0.567460,0,0
N_10_PL_0.25_R_0.5_V_3_p_5,180,180,180,182,182,96,6,80,0,182,86,56,40,0,2,0.668578,0,0
N_10_PL_0.25_R_0.5_V_3_p_10,250,250,250,258,254,82,10,160,2,258,100,58,100,0,3,0.720020,0,0
N_10_PL_0.25_R_0.5_V_3_p_25,470,470,470,476,476,55,21,400,0,474,127,47,300,0,4,0.967778,0,0
N_10_PL_0.25_R_0.5_V_4_p_1,136,136,136,142,142,114,12,16,0,140,95,35,10,0,3,0.582050,0,0
N_10_PL_0.25_R_0.5_V_4_p_5,188,188,188,195,195,89,26,80,0,190,120,20,50,0,3,0.647339,0,0
N_10_PL_0.25_R_0.5_V_4_p_10,256,256,250,257,257,83,14,160,0,254,126,28,100,0,3,0.713451,0,0
N_10_PL_0.25_R_0.5_V_4_p_25,474,472,474,480,480,63,17,400,0,476,146,30,300,0,4,0.930381,0,0
N_10_PL_0.25_R_0.75_V_0_p_1,152,152,151,152,152,102,34,16,0,148,85,53,8,2,2,0.687679,0,0
N_10_PL_0.25_R_0.75_V_0_p_5,200,200,200,205,202,94,28,80,0,205,93,72,40,0,2,0.628824,0,0
N_10_PL_0.25_R_0.75_V_0_p_10,268,268,252,268,268,88,20,160,0,265,99,76,80,10,2,0.753183,0,0
N_10_PL_0.25_R_0.75_V_0_p_25,488,488,460,492,492,69,19,400,4,479,118,105,250,6,3,0.961152,0,0
N_10_PL_0.25_R_0.75_V_1_p_1,134,132,134,132,132,72,44,16,0,129,73,48,8,0,2,0.576165,0,0
N_10_PL_0.25_R_0.75_V_1_p_5,182,182,180,182,182,65,37,80,0,172,80,52,40,0,2,0.612277,0,0
N_10_PL_0.25_R_0.75_V_1_p_10,242,242,240,242,242,55,27,160,0,220,90,50,80,0,2,0.697603,0,0
N_10_PL_0.25_R_0.75_V_1_p_25,448,446,448,466,466,36,10,400,20,458,109,99,250,0,3,0.887968,0,0
N_10_PL_0.25_R_0.75_V_2_p_1,182,182,182,182,182,90,76,16,0,173,93,64,8,8,2,0.624160,0,0
N_10_PL_0.25_R_0.75_V_2_p_5,230,230,230,230,230,82,68,80,0,218,101,57,40,20,2,0.688999,0,0
N_10_PL_0.25_R_0.75_V_2_p_10,300,300,300,300,300,77,63,160,0,278,106,72,100,0,3,0.738774,0,0
N_10_PL_0.25_R_0.75_V_2_p_25,496,496,494,501,500,55,45,400,0,501,128,97,250,26,3,1.017705,0,0
N_10_PL_0.25_R_0.75_V_3_p_1,142,142,142,144,142,99,25,18,0,144,106,18,10,10,4,0.642128,0,0
N_10_PL_0.25_R_0.75_V_3_p_5,194,194,186,194,194,94,20,80,0,188,111,37,40,0,2,0.629240,0,0
N_10_PL_0.25_R_0.75_V_3_p_10,260,260,256,266,260,82,18,160,0,266,123,27,100,16,3,0.747357,0,0
N_10_PL_0.25_R_0.75_V_3_p_25,478,478,478,484,484,54,30,400,0,484,151,33,300,0,4,0.911929,0,0
N_10_PL_0.25_R_0.75_V_4_p_1,142,142,142,144,142,98,28,16,0,144,89,45,10,0,3,0.597870,0,0
N_10_PL_0.25_R_0.75_V_4_p_5,196,196,196,201,198,94,22,80,2,201,93,58,50,0,3,0.654017,0,0
