Unnamed: 0,name,raw_org,raw_dest,p,handshake
0,N_10_PL_0.25_R_0.25_V_0,"0, 0, 0, 21, 34, 41, 0, 0, 41, 0","27, 31, 39, 0, 0, 28, 27, 27, 35, 29",1,16
0,N_10_PL_0.25_R_0.25_V_0,"0, 0, 0, 21, 34, 41, 0, 0, 41, 0","27, 31, 39, 0, 0, 28, 27, 27, 35, 29",5,17
0,N_10_PL_0.25_R_0.25_V_0,"0, 0, 0, 21, 34, 41, 0, 0, 41, 0","27, 31, 39, 0, 0, 28, 27, 27, 35, 29",10,18
0,N_10_PL_0.25_R_0.25_V_0,"0, 0, 0, 21, 34, 41, 0, 0, 41, 0","27, 31, 39, 0, 0, 28, 27, 27, 35, 29",20,21
1,N_10_PL_0.25_R_0.25_V_1,"0, 41, 41, 0, 12, 15, 0, 0, 0, 0","11, 36, 18, 5, 0, 0, 20, 19, 26, 2",1,11
1,N_10_PL_0.25_R_0.25_V_1,"0, 41, 41, 0, 12, 15, 0, 0, 0, 0","11, 36, 18, 5, 0, 0, 20, 19, 26, 2",5,11
1,N_10_PL_0.25_R_0.25_V_1,"0, 41, 41, 0, 12, 15, 0, 0, 0, 0","11, 36, 18, 5, 0, 0, 20, 19, 26, 2",10,11
1,N_10_PL_0.25_R_0.25_V_1,"0, 41, 41, 0, 12, 15, 0, 0, 0, 0","11, 36, 18, 5, 0, 0, 20, 19, 26, 2",20,11
2,N_10_PL_0.25_R_0.25_V_2,"0, 4, 41, 0, 13, 0, 0, 41, 0, 0","25, 0, 29, 31, 0, 12, 25, 29, 35, 38",1,15
2,N_10_PL_0.25_R_0.25_V_2,"0, 4, 41, 0, 13, 0, 0, 41, 0, 0","25, 0, 29, 31, 0, 12, 25, 29, 35, 38",5,15
2,N_10_PL_0.25_R_0.25_V_2,"0, 4, 41, 0, 13, 0, 0, 41, 0, 0","25, 0, 29, 31, 0, 12, 25, 29, 35, 38",10,15
2,N_10_PL_0.25_R_0.25_V_2,"0, 4, 41, 0, 13, 0, 0, 41, 0, 0","25, 0, 29, 31, 0, 12, 25, 29, 35, 38",20,13
3,N_10_PL_0.25_R_0.25_V_3,"0, 0, 14, 41, 41, 0, 0, 0, 0, 8","18, 7, 0, 2, 28, 32, 2, 28, 2, 0",1,14
3,N_10_PL_0.25_R_0.25_V_3,"0, 0, 14, 41, 41, 0, 0, 0, 0, 8","18, 7, 0, 2, 28, 32, 2, 28, 2, 0",5,12
3,N_10_PL_0.25_R_0.25_V_3,"0, 0, 14, 41, 41, 0, 0, 0, 0, 8","18, 7, 0, 2, 28, 32, 2, 28, 2, 0",10,9
3,N_10_PL_0.25_R_0.25_V_3,"0, 0, 14, 41, 41, 0, 0, 0, 0, 8","18, 7, 0, 2, 28, 32, 2, 28, 2, 0",20,8
4,N_10_PL_0.25_R_0.25_V_4,"0, 0, 41, 11, 41, 0, 0, 0, 0, 11","13, 32, 10, 0, 8, 1, 20, 15, 26, 0",1,12
4,N_10_PL_0.25_R_0.25_V_4,"0, 0, 41, 11, 41, 0, 0, 0, 0, 11","13, 32, 10, 0, 8, 1, 20, 15, 26, 0",5,11
4,N_10_PL_0.25_R_0.25_V_4,"0, 0, 41, 11, 41, 0, 0, 0, 0, 11","13, 32, 10, 0, 8, 1, 20, 15, 26, 0",10,11
4,N_10_PL_0.25_R_0.25_V_4,"0, 0, 41, 11, 41, 0, 0, 0, 0, 11","13, 32, 10, 0, 8, 1, 20, 15, 26, 0",20,11
5,N_10_PL_0.25_R_0.5_V_0,"32, 0, 0, 4, 18, 1, 0, 7, 0, 41","0, 12, 23, 0, 0, 0, 39, 41, 10, 25",1,15
5,N_10_PL_0.25_R_0.5_V_0,"32, 0, 0, 4, 18, 1, 0, 7, 0, 41","0, 12, 23, 0, 0, 0, 39, 41, 10, 25",5,13
5,N_10_PL_0.25_R_0.5_V_0,"32, 0, 0, 4, 18, 1, 0, 7, 0, 41","0, 12, 23, 0, 0, 0, 39, 41, 10, 25",10,12
5,N_10_PL_0.25_R_0.5_V_0,"32, 0, 0, 4, 18, 1, 0, 7, 0, 41","0, 12, 23, 0, 0, 0, 39, 41, 10, 25",20,10
6,N_10_PL_0.25_R_0.5_V_1,"33, 41, 31, 0, 41, 0, 8, 0, 25, 8","0, 24, 0, 22, 30, 8, 0, 34, 0, 0",1,14
6,N_10_PL_0.25_R_0.5_V_1,"33, 41, 31, 0, 41, 0, 8, 0, 25, 8","0, 24, 0, 22, 30, 8, 0, 34, 0, 0",5,14
6,N_10_PL_0.25_R_0.5_V_1,"33, 41, 31, 0, 41, 0, 8, 0, 25, 8","0, 24, 0, 22, 30, 8, 0, 34, 0, 0",10,13
6,N_10_PL_0.25_R_0.5_V_1,"33, 41, 31, 0, 41, 0, 8, 0, 25, 8","0, 24, 0, 22, 30, 8, 0, 34, 0, 0",20,11
7,N_10_PL_0.25_R_0.5_V_2,"0, 40, 0, 41, 0, 22, 9, 8, 26, 0","25, 0, 22, 10, 3, 0, 0, 41, 0, 1",1,14
7,N_10_PL_0.25_R_0.5_V_2,"0, 40, 0, 41, 0, 22, 9, 8, 26, 0","25, 0, 22, 10, 3, 0, 0, 41, 0, 1",5,12
7,N_10_PL_0.25_R_0.5_V_2,"0, 40, 0, 41, 0, 22, 9, 8, 26, 0","25, 0, 22, 10, 3, 0, 0, 41, 0, 1",10,10
7,N_10_PL_0.25_R_0.5_V_2,"0, 40, 0, 41, 0, 22, 9, 8, 26, 0","25, 0, 22, 10, 3, 0, 0, 41, 0, 1",20,10
8,N_10_PL_0.25_R_0.5_V_3,"13, 41, 10, 18, 0, 0, 0, 28, 23, 41","0, 22, 0, 0, 36, 16, 34, 0, 0, 26",1,13
8,N_10_PL_0.25_R_0.5_V_3,"13, 41, 10, 18, 0, 0, 0, 28, 23, 41","0, 22, 0, 0, 36, 16, 34, 0, 0, 26",5,13
8,N_10_PL_0.25_R_0.5_V_3,"13, 41, 10, 18, 0, 0, 0, 28, 23, 41","0, 22, 0, 0, 36, 16, 34, 0, 0, 26",10,13
8,N_10_PL_0.25_R_0.5_V_3,"13, 41, 10, 18, 0, 0, 0, 28, 23, 41","0, 22, 0, 0, 36, 16, 34, 0, 0, 26",20,13
9,N_10_PL_0.25_R_0.5_V_4,"13, 0, 41, 41, 12, 17, 0, 10, 20, 0","0, 13, 28, 23, 0, 0, 40, 0, 0, 22",1,11
9,N_10_PL_0.25_R_0.5_V_4,"13, 0, 41, 41, 12, 17, 0, 10, 20, 0","0, 13, 28, 23, 0, 0, 40, 0, 0, 22",5,11
9,N_10_PL_0.25_R_0.5_V_4,"13, 0, 41, 41, 12, 17, 0, 10, 20, 0","0, 13, 28, 23, 0, 0, 40, 0, 0, 22",10,12
9,N_10_PL_0.25_R_0.5_V_4,"13, 0, 41, 41, 12, 17, 0, 10, 20, 0","0, 13, 28, 23, 0, 0, 40, 0, 0, 22",20,12
10,N_10_PL_0.25_R_0.75_V_0,"4, 39, 0, 0, 28, 39, 41, 32, 10, 16","41, 0, 40, 18, 0, 0, 19, 0, 0, 0",1,16
